YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008,Parliament,North Tongu,Volta,41352,29485,29116,,4065,,,22876,133,,2042,,,,,,,,,,,,,,,,,,,,,,,Moses Mensah Assem,,,Charles Sename Hodugbey,Eunice Mordey,,Emmanuel Yaovi Bobobee,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,South Dayi,Volta,25203,15753,15605,,1381,,,13654,570,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Douse,,,Simon Edem Asimah,Charles Opei-Boafo,,,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,South Tongu,Volta,44946,33073,32745,,2675,,,28193,169,,413,,,,,,,,,,,,,,,,,,,1295,,,,Aglah Cate Aku,,,Woyome Kobla Mensah,Samuel Kofi Apedo,,Dr. Prosper Kofi Ashilevi,,,,,,,,,,,,,,,,,,,Mensah Dawukpor,,,
2008,Parliament,Ahanta West,Western,55903,39661,38798,,20871,,,9393,1789,,6745,,,,,,,,,,,,,,,,,,,,,,,Samuel Johnfiah,,,Joseph Jones Amoah,Comfort Amoo,,David Oscar Yawson,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Amenfi Central,Western,41609,29563,28808,,9578,,,11324,,,205,,,,,,,,,,,,,,,,,,,7701,,,,Padmore Kofi Yonkopa Arthur,,,George Kofi Arthur,,,James Boateng,,,,,,,,,,,,,,,,,,,Peter Yaw Kwakye Ackah,,,
2008,Parliament,Amenfi East,Western,50915,36398,35832,,18576,,,16243,,,1013,,,,,,,,,,,,,,,,,,,,,,,Joseph Boahen Aidoo,,,Akwasi Opong Fosu,,,Samuel Yaw Obeng-Damoah,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Amenfi West,Western,46015,32372,31858,,13070,,,18383,,,405,,,,,,,,,,,,,,,,,,,,,,,Mrs. Agnes Sonful,,,John Gyetuah,,,Anthony Kwame Enimil,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Aowin,Western,57192,36430,35662,,15393,,631,19291,,,347,,,,,,,,,,,,,,,,,,,,,,,Samuel Adu-Gyamfi,,Ebenezer Ebbi Kwaw Dankwa,Mathias Kwame Ntow,,,Martin Boadi 347 0.97%  TOTAL,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Bia,Western,80432,48332,46935,,14775,,,29380,571,198,584,,,,,,,,,,,,,,,,,,,1427,,,,Anthony Marshall Arpoh,,,Michael Coffie Boampong,Augustine Duku,Alex Ackah Korsah,Philemon Armah,,,,,,,,,,,,,,,,,,,Kwaku Affukaah,,,
2008,Parliament,Bibiani-Anhwiaso-Bekwai,Western,61244,49275,48624,,24241,,,22014,1289,,1080,,,,,,,,,,,,,,,,,,,,,,,Christopher Addae,,,Seidu Paakuna Adamu,Alice Philipa Gyamfi,,Gyasi Newlove,,,,,,,,,,,,,,,,,,,,,,
